List ID	Type	SfW	Code	Language_Paper	Language	Family	Group	Glottocode	Village	Multidagestan.com	Lat	Lon	District
157	Speaker	1	Tukita2	1	Karata	East-Caucasian	Andic	toki1238	Tukita	y	42.57056	46.37278	Akhvakh
158	Speaker	1	Tukita3	1	Karata	East-Caucasian	Andic	toki1238	Tukita	y	42.57056	46.37278	Akhvakh
159	Speaker	1	Tukita4	1	Karata	East-Caucasian	Andic	toki1238	Tukita	y	42.57056	46.37278	Akhvakh
160	Speaker	1	Tukita5	1	Karata	East-Caucasian	Andic	toki1238	Tukita	y	42.57056	46.37278	Akhvakh
161	Speaker	1	Bezhta2	1	Bezhta	East-Caucasian	Tsezic	bezh1248	Bezhta	y	42.1339	46.1247	Tsunta
162	Speaker	1	Kurdul1	1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Kurdul	n	41.581482	47.17811	Rutul
163	Speaker	1	Kurdul2	1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Kurdul	n	41.581482	47.17811	Rutul
164	Speaker	1	Kurdul3	1	Tsakhur	East-Caucasian	Lezgic	tsak1249	Kurdul	n	41.581482	47.17811	Rutul
165	Speaker	1	Fiy1	1	Lezgian	East-Caucasian	Lezgic	lezg1247	Fiy	n	41.285241	47.565016	Akhty
166	Speaker	1	Fiy2	1	Lezgian	East-Caucasian	Lezgic	lezg1247	Fiy	n	41.285241	47.565016	Akhty
167	Speaker	1	Gdym1	1	Lezgian	East-Caucasian	Lezgic	lezg1247	Gdym	n	41.310094	47.468052	Akhty
168	Speaker	1	Gdym2	1	Lezgian	East-Caucasian	Lezgic	lezg1247	Gdym	n	41.310094	47.468052	Akhty
169	Speaker	1	Khnov1	1	Rutul	East-Caucasian	Lezgic	rutu1240	Khnov	n	41.378933	47.442273	Akhty
170	Speaker	1	Khnov2	1	Rutul	East-Caucasian	Lezgic	rutu1240	Khnov	n	41.378933	47.442273	Akhty
171	Speaker	1	Khnov3	1	Rutul	East-Caucasian	Lezgic	rutu1240	Khnov	n	41.378933	47.442273	Akhty
172	Speaker	1	Kina4	1	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	y	41.6166	47.2647	Rutul
173	Speaker	1	Kina5	1	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	y	41.6166	47.2647	Rutul
174	Speaker	1	Kina3a	1	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	y	41.6166	47.2647	Rutul
175	Speaker	1	Kina2a	1	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	y	41.6166	47.2647	Rutul
176	Speaker	1	Kina1a	1	Rutul	East-Caucasian	Lezgic	rutu1240	Kina	y	41.6166	47.2647	Rutul
