Speaker	Village	Language	Admin_center	District	Turkic	Avar	Georgian	Chechen
Zilo13	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo14	Zilo	Zilo	Botlikh	Northeast	0	1	0	1
Zilo15	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo16	Zilo	Zilo	Botlikh	Northeast	0	1	0	1
Zilo17	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo18	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo19	Zilo	Zilo	Botlikh	Northeast	0	1	0	1
Zilo20	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo21	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo22	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo23	Zilo	Zilo	Botlikh	Northeast	0	1	0	NA
Zilo24	Zilo	Zilo	Botlikh	Northeast	0	0	0	0
Zilo25	Zilo	Zilo	Botlikh	Northeast	0	1	0	1
Zilo26	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo27	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo28	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo29	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo30	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo31	Zilo	Zilo	Botlikh	Northeast	0	1	0	1
Zilo32	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo33	Zilo	Zilo	Botlikh	Northeast	0	1	0	0
Zilo34	Zilo	Zilo	Botlikh	Northeast	0	NA	0	0
Khlut1	Khlut	Lezgic	Rutul	South	0	0	0	0
Khlut2	Khlut	Lezgic	Rutul	South	0	0	0	0
Khlut3	Khlut	Lezgic	Rutul	South	0	0	0	0
Khlut4	Khlut	Lezgic	Rutul	South	0	0	0	0
Khlut5	Khlut	Lezgic	Rutul	South	NA	0	0	0
Khlut6	Khlut	Lezgic	Rutul	South	0	0	0	0
Khlut7	Khlut	Lezgic	Rutul	South	0	0	0	0
Khlut8	Khlut	Lezgic	Rutul	South	1	0	0	0
Khlut9	Khlut	Lezgic	Rutul	South	1	0	0	0
Khlut10	Khlut	Lezgic	Rutul	South	1	0	0	0
Khlut11	Khlut	Lezgic	Rutul	South	1	0	0	0
Khlut12	Khlut	Lezgic	Rutul	South	1	0	0	0
Khlut13	Khlut	Lezgic	Rutul	South	1	0	0	0
Khlut14	Khlut	Lezgic	Rutul	South	0	0	0	0
Khlut15	Khlut	Lezgic	Rutul	South	1	0	0	0
Khlut16	Khlut	Lezgic	Rutul	South	0	0	0	0
Kich1	Kiche	Rutul	Rutul	South	1	0	0	0
Kich2	Kiche	Rutul	Rutul	South	1	0	0	0
Kich3	Kiche	Rutul	Rutul	South	NA	0	0	0
Kich4	Kiche	Rutul	Rutul	South	1	0	0	0
Kich5	Kiche	Rutul	Rutul	South	1	0	0	0
Kich6	Kiche	Rutul	Rutul	South	1	0	0	0
Kich7	Kiche	Rutul	Rutul	South	1	0	0	0
Kich8	Kiche	Rutul	Rutul	South	0	0	0	0
Kich9	Kiche	Rutul	Rutul	South	1	0	0	0
Kich10	Kiche	Rutul	Rutul	South	1	0	0	0
Kich11	Kiche	Rutul	Rutul	South	0	0	0	0
Kich12	Kiche	Rutul	Rutul	South	0	0	0	0
Kich13	Kiche	Rutul	Rutul	South	1	0	0	0
Kich14	Kiche	Rutul	Rutul	South	1	0	0	0
Rut1	Rutul	Rutul	Rutul	South	1	0	0	0
Rut2	Rutul	Rutul	Rutul	South	0	0	0	0
Rut3	Rutul	Rutul	Rutul	South	0	0	0	0
Rut4	Rutul	Rutul	Rutul	South	1	0	0	0
Rut5	Rutul	Rutul	Rutul	South	1	0	0	0
Rut6	Rutul	Rutul	Rutul	South	1	0	0	0
Rut7	Rutul	Rutul	Rutul	South	1	0	0	0
Rut8	Rutul	Rutul	Rutul	South	1	0	0	0
Rut9	Rutul	Rutul	Rutul	South	0	0	0	0
Rut10	Rutul	Rutul	Rutul	South	1	0	0	0
Rut11	Rutul	Rutul	Rutul	South	1	0	0	0
Rut12	Rutul	Rutul	Rutul	South	1	0	0	0
Rut13	Rutul	Rutul	Rutul	South	1	0	0	0
Rut14	Rutul	Rutul	Rutul	South	1	0	0	0
Rut15	Rutul	Rutul	Rutul	South	1	0	0	0
Rut16	Rutul	Rutul	Rutul	South	1	0	0	0
Rut17	Rutul	Rutul	Rutul	South	1	0	0	0
Rut18	Rutul	Rutul	Rutul	South	1	0	0	0
Rut19	Rutul	Rutul	Rutul	South	NA	0	0	0
Rut20	Rutul	Rutul	Rutul	South	0	0	0	0
Rut21	Rutul	Rutul	Rutul	South	1	0	0	0
Rut22	Rutul	Rutul	Rutul	South	0	0	0	0
Rut23	Rutul	Rutul	Rutul	South	1	0	0	0
Rut24	Rutul	Rutul	Rutul	South	1	0	0	0
Rut25	Rutul	Rutul	Rutul	South	1	0	0	0
Rut26	Rutul	Rutul	Rutul	South	1	0	0	0
Rut27	Rutul	Rutul	Rutul	South	NA	0	0	0
Rut28	Rutul	Rutul	Rutul	South	1	0	0	0
Rut29	Rutul	Rutul	Rutul	South	1	0	0	0
